iter	Passed	Remaining
399	78260	117390
400	78376	117075
401	78492	116762
402	78618	116464
403	78735	116153
404	78849	115840
405	78963	115527
406	79077	115215
407	79183	114893
408	79329	114629
409	79438	114314
410	79553	114007
411	79669	113702
412	79779	113391
413	79894	113087
414	80013	112789
415	80127	112486
416	80243	112186
417	80374	111908
418	80499	111622
419	80622	111336
420	80744	111047
421	80843	110729
422	80958	110433
423	81073	110137
424	81192	109848
425	81307	109555
426	81416	109254
427	81533	108965
428	81642	108666
429	81750	108366
430	81859	108069
431	81970	107776
432	82084	107487
433	82207	107210
434	82322	106924
435	82441	106644
436	82560	106365
437	82666	106070
438	82782	105788
439	82892	105499
440	83010	105222
441	83129	104945
442	83247	104670
443	83335	104356
444	83448	104076
445	83565	103801
446	83681	103525
447	83803	103258
448	83920	102984
449	84031	102704
450	84141	102425
451	84264	102161
452	84392	101904
453	84519	101646
454	84638	101380
455	84744	101098
456	84859	100828
457	84980	100565
458	85098	100301
459	85216	100036
460	85334	99772
461	85446	99502
462	85558	99233
463	85668	98961
464	85774	98686
465	85892	98426
466	86016	98173
467	86129	97908
468	86239	97640
469	86361	97386
470	86480	97130
471	86603	96878
472	86713	96613
473	86808	96331
474	86918	96068
475	87029	95805
476	87138	95542
477	87259	95291
478	87371	95032
479	87488	94779
480	87604	94525
481	87715	94266
482	87826	94009
483	87941	93756
484	88057	93504
485	88172	93251
486	88302	93017
487	88415	92763
488	88535	92518
489	88658	92277
490	88793	92048
491	88910	91801
492	89025	91553
493	89145	91310
494	89263	91066
495	89391	90833
496	89518	90599
497	89648	90368
498	89757	90117
499	89891	89891
500	90025	89665
501	90158	89439
502	90290	89213
503	90408	88973
504	90667	88872
505	90883	88727
506	90996	88483
507	91238	88365
508	91393	88161
509	91526	87936
510	91694	87747
511	91938	87629
512	92078	87411
513	92209	87186
514	92329	86951
515	92445	86712
516	92570	86482
517	92684	86242
518	92790	85996
519	92912	85765
520	93135	85627
521	93332	85465
522	93478	85256
523	93634	85057
524	93790	84857
525	93918	84633
526	94055	84417
527	94180	84191
528	94306	83967
529	94439	83748
530	94593	83548
531	94827	83419
532	94984	83223
533	95095	82986
534	95210	82752
535	95427	82608
536	95567	82398
537	95726	82204
538	95865	81992
539	95996	81774
540	96136	81565
541	96276	81355
542	96500	81216
543	96629	80998
544	96741	80765
545	96857	80537
546	96973	80309
547	97086	80078
548	97194	79844
549	97309	79617
