iter	Logloss
191	0.4926152817
192	0.4922713323
193	0.4919144545
194	0.4914240402
195	0.4910737751
196	0.4908441301
197	0.4903215465
198	0.489903073
199	0.4894221572
200	0.48913534
201	0.4884974811
202	0.4883485833
203	0.4881490442
204	0.4880139796
205	0.4878934284
206	0.4874925283
207	0.4871573187
208	0.4870706874
209	0.4869622581
210	0.4868144264
211	0.4866657533
212	0.4865559302
213	0.4864556951
214	0.4863456871
215	0.4858093067
216	0.4856721391
217	0.4855305651
218	0.4854032341
219	0.4852926667
220	0.4851624637
221	0.4850149639
222	0.4849385397
223	0.4846311197
224	0.484273826
225	0.483702945
226	0.4831828867
227	0.4829668583
228	0.4828555959
229	0.4825957938
230	0.4824941204
231	0.4822936533
232	0.4821757068
233	0.482029694
234	0.48181218
235	0.4814588991
236	0.4813673655
237	0.481214403
238	0.4810443335
239	0.4809214237
240	0.480701516
241	0.4805857729
242	0.48035691
243	0.4802825638
244	0.4801980186
245	0.4800943892
246	0.4798550332
247	0.4797116042
248	0.4795396583
249	0.4794769722
250	0.4792565974
251	0.4790167945
252	0.4788975047
253	0.4788130321
254	0.4784213917
255	0.4783538203
256	0.4782477789
257	0.4780932073
258	0.4778634712
259	0.4776938575
260	0.4776123079
261	0.4774921948
262	0.4773602002
263	0.4771257097
264	0.4769406253
265	0.4767402099
266	0.476665811
267	0.4765834893
268	0.4764705679
269	0.4761377097
270	0.4757732822
271	0.4756461576
272	0.4755684431
273	0.4753849375
274	0.4752802948
275	0.4751636369
276	0.475071178
277	0.4748534297
278	0.4747031841
279	0.4745981554
280	0.4744746247
281	0.474393865
282	0.4742824796
283	0.4741725456
284	0.4739035508
285	0.4736008282
286	0.4734917038
287	0.4733297726
288	0.4732294843
289	0.4731512715
290	0.4730366686
291	0.4729232553
292	0.4728276559
293	0.472734977
294	0.4726970135
295	0.4725905567
296	0.4724928588
297	0.4722234599
298	0.4721421318
299	0.4719078541
300	0.4718295065
301	0.4716382721
302	0.4715477161
303	0.4714548677
304	0.4713718952
305	0.4712846628
306	0.4711800571
307	0.4710988948
308	0.4710156461
309	0.4707241758
310	0.4706319599
311	0.4702131558
312	0.4700974838
313	0.4699307185
314	0.4698415974
315	0.4697459281
316	0.4693098983
317	0.4692358644
318	0.4691344301
319	0.4690195585
320	0.4688471635
321	0.4686926558
322	0.4685936481
323	0.4684301592
324	0.4682339006
325	0.4681210534
326	0.4680238068
327	0.4679511486
328	0.4678638269
329	0.4677780545
330	0.4675486249
331	0.4674794055
332	0.4673415543
333	0.467240956
334	0.4671691414
335	0.4670847005
336	0.4669839827
337	0.4668766789
338	0.466790441
339	0.4667069013
340	0.4665332334
341	0.4663878985
342	0.4663010246
343	0.4662140996
344	0.4661312973
345	0.4658715581
346	0.4657834016
347	0.4654771551
348	0.4652368072
349	0.465086076
350	0.4649642897
351	0.4648926806
352	0.4647194804
353	0.4646409211
354	0.4643201529
355	0.4642423554
356	0.4641796298
357	0.4640799333
358	0.4640049688
359	0.463952139
360	0.4637845828
361	0.4634256076
362	0.4633359473
363	0.4632639614
364	0.4632123611
365	0.463163663
366	0.4630628279
367	0.4629329763
368	0.4628731839
369	0.4628297222
370	0.4627484145
371	0.4626075074
372	0.4625261672
373	0.4624391164
374	0.4623175328
375	0.4622468375
376	0.4620960486
377	0.4620243418
378	0.4618915056
379	0.46180933
380	0.4616231644
381	0.4615388076
382	0.4614024233
383	0.4613064706
384	0.4610456829
385	0.4609823935
386	0.4608402262
387	0.4607763764
388	0.4606891207
389	0.460601508
390	0.4605243819
391	0.4603086027
392	0.460204303
393	0.4601015772
394	0.4600316178
395	0.4599650686
396	0.459847016
397	0.4597790215
398	0.4597070487
399	0.4596281903
400	0.4595577049
401	0.459493409
402	0.459388955
403	0.4593078503
404	0.4591521558
405	0.4591182354
406	0.4590615737
407	0.458983416
408	0.4589093278
409	0.4588391858
410	0.4587656717
411	0.45862574
412	0.4585396647
413	0.4585052303
414	0.4584273685
415	0.4583667455
416	0.4582477844
417	0.4581694374
418	0.4580849365
419	0.4580042995
420	0.4575804249
421	0.4574841372
422	0.4573794872
423	0.4573167893
424	0.4572352578
425	0.4571143329
426	0.4570502071
427	0.4569650011
428	0.4569238005
429	0.4568472732
430	0.4568003581
431	0.456734058
432	0.4566766947
433	0.4564000527
434	0.4563045531
435	0.4562553898
436	0.4561721146
437	0.4560701477
438	0.4559650739
439	0.4559040202
440	0.4557074309
441	0.4556555836
442	0.4555809916
443	0.4555384266
444	0.4554653224
445	0.4553960136
446	0.4553195972
447	0.4552414595
448	0.4551807522
449	0.4551166075
450	0.4550676172
451	0.4549267697
452	0.454839951
453	0.4547178261
454	0.4545273729
455	0.4544550027
456	0.4543966354
457	0.4543483809
458	0.4541926994
459	0.4541259916
460	0.4540303871
461	0.4537906513
462	0.4537229815
463	0.4535630695
464	0.4534837857
465	0.4534157157
466	0.4533520042
467	0.4532372551
468	0.4531632531
469	0.4530671266
470	0.4530166479
471	0.4529444227
472	0.4528663502
473	0.4527938778
474	0.4526396016
475	0.4525714686
476	0.4525083377
477	0.4523415833
478	0.4522782342
479	0.4521961508
480	0.4520941863
481	0.4520428846
482	0.4519793182
483	0.4518643402
484	0.4518063708
485	0.4517417471
486	0.4516834328
487	0.4516145745
488	0.4514366525
489	0.4513743558
490	0.4511316003
491	0.4510751386
492	0.4510156414
493	0.4509371939
494	0.4509019214
495	0.4505268504
496	0.4504139539
497	0.4503322767
498	0.4502934902
499	0.4502321958
500	0.4499340314
501	0.4498715094
502	0.4497526959
503	0.4496751793
504	0.4496046936
505	0.4495258266
506	0.4493962293
507	0.4492867391
508	0.4492208077
509	0.4491607933
510	0.4490777042
511	0.4490112668
512	0.4489230753
513	0.4488510083
514	0.4487032068
515	0.448636038
516	0.4485825417
517	0.4485185021
518	0.4484042113
519	0.448340154
520	0.4482820262
521	0.4481900651
522	0.4481893194
523	0.4481306761
524	0.4479526521
525	0.4478743692
526	0.4478195416
527	0.4477330604
528	0.4476698701
529	0.4476186054
530	0.4475457348
531	0.4474807166
532	0.4474136862
533	0.4473806682
534	0.447164206
535	0.447117362
536	0.4470634319
537	0.4469980993
538	0.4469298201
539	0.4468745154
540	0.4468202768
541	0.4467430993
542	0.4466480756
543	0.4465757867
544	0.4465192097
545	0.4464581603
546	0.4462060431
547	0.4461355876
548	0.4460931212
549	0.4460510382
550	0.4459885469
551	0.4458888758
552	0.4457830252
553	0.4457341082
554	0.4456603511
555	0.4456141455
556	0.4455383469
557	0.4454675331
558	0.4454183203
559	0.4453729675
560	0.445321038
561	0.4452753377
562	0.4452009537
563	0.445019095
564	0.4449159098
565	0.4448573379
566	0.4447985139
567	0.4447289683
568	0.4445958974
569	0.4445273204
570	0.4444677757
571	0.4444118533
572	0.4443384901
573	0.4442255014
574	0.4441689818
575	0.4441125898
576	0.4440129327
577	0.4439644662
578	0.4438804459
579	0.4438212674
580	0.4437513028
581	0.4437047938
582	0.4436543723
583	0.4435794678
584	0.4435190784
585	0.4434272958
586	0.4433726518
587	0.4433025448
588	0.4432574708
589	0.4432076884
590	0.4431595743
591	0.4431174266
592	0.4430625684
593	0.4430155467
594	0.4429475126
595	0.4429047709
596	0.4428244813
597	0.4427442149
598	0.4427001094
599	0.4426193462
600	0.4425527392
601	0.4424939696
602	0.442444049
603	0.4423866601
604	0.4423389153
605	0.4422958666
606	0.4421941073
607	0.4421429956
608	0.4420523613
609	0.441990958
610	0.4419500164
611	0.4418860537
612	0.4417247019
613	0.441680568
614	0.4416224185
615	0.44157631
616	0.4415042368
617	0.4414751774
618	0.4414183101
619	0.4413804019
620	0.4413403414
621	0.4412754523
622	0.4412274649
623	0.4411736959
624	0.4411062642
625	0.4410408783
626	0.4409775046
627	0.4409435323
628	0.4408857186
629	0.4408355162
630	0.4406750062
631	0.440604633
632	0.4403751418
633	0.440329472
634	0.4402622443
635	0.4402164382
636	0.4400377855
637	0.4399516314
638	0.4397527688
639	0.4396943474
640	0.4396078325
641	0.4395711698
642	0.4395121895
643	0.4394700902
644	0.4394279976
645	0.4393612374
646	0.4392978893
647	0.4392348304
648	0.4391958036
649	0.4391436739
650	0.4390938368
651	0.4390452871
652	0.4389895987
653	0.4389216976
654	0.4388452028
655	0.4387857639
656	0.4386621119
657	0.4385920738
658	0.4384545185
659	0.4384004116
660	0.4383355704
661	0.4382782788
662	0.4382394348
663	0.4381654268
664	0.4380563055
665	0.4380205943
666	0.437886719
667	0.4378280075
668	0.4377826365
669	0.4377124167
670	0.4376779628
671	0.4376251888
672	0.4375804796
673	0.4375266665
674	0.4374582165
675	0.4373860726
676	0.437355055
677	0.4373199146
678	0.437264225
679	0.4372211093
680	0.437150056
681	0.4371157696
682	0.4370792759
683	0.4370430252
684	0.4369787432
685	0.4369222011
686	0.4368713458
687	0.4367460247
688	0.4366976288
689	0.4366406672
690	0.4365829324
691	0.4365203289
692	0.4364254602
693	0.436365556
694	0.4363163932
695	0.4362601386
696	0.4362252652
697	0.4361878918
698	0.4361406947
699	0.4360759846
700	0.4360429738
701	0.4359825149
702	0.4359441
703	0.435881519
704	0.4358182178
705	0.4357591556
706	0.4357140595
707	0.4356661811
708	0.435644097
709	0.4355991911
710	0.4355450133
711	0.4354989693
712	0.4353496045
713	0.4352883927
714	0.4352543786
715	0.435233993
716	0.435181055
717	0.4351005931
718	0.435040649
719	0.4349820064
720	0.4349230449
721	0.4348148619
722	0.4347556089
723	0.4346952299
724	0.4346303059
725	0.4345685821
726	0.4345007321
727	0.4344284886
728	0.4343642601
729	0.4343059613
730	0.4342659554
731	0.4342014552
732	0.4341500344
733	0.4341002217
734	0.434061275
735	0.4340124931
736	0.4339748309
737	0.4339212756
738	0.4338689597
739	0.4338319287
740	0.4337721006
741	0.4337225897
742	0.4336843669
743	0.43363057
744	0.4335810244
745	0.4335433144
746	0.4334808534
747	0.4334144675
748	0.433349613
749	0.4333036418
750	0.4331049384
751	0.4329776349
752	0.43292349
753	0.4328758788
754	0.4328209082
755	0.4327561886
756	0.432706036
757	0.4326614717
758	0.4326098673
759	0.4325421013
760	0.432493884
761	0.4324381847
762	0.4323932752
763	0.4323323064
764	0.4322940765
765	0.4322366638
766	0.4321740237
767	0.4321178886
768	0.43206685
769	0.4320327822
770	0.431990715
771	0.4319456335
772	0.4319047419
773	0.431851977
774	0.4317967822
775	0.4317418551
776	0.4317058713
777	0.4316530789
778	0.4315911402
779	0.4315671265
780	0.4315230036
781	0.4314749055
782	0.4314349803
783	0.4313748997
784	0.431325077
785	0.4312909533
786	0.431214991
787	0.4310287465
788	0.4309676449
789	0.4309184124
790	0.4308706292
791	0.4308198014
792	0.4307817556
793	0.4307169022
794	0.4306706039
795	0.4305972763
796	0.4305681198
797	0.4305158368
798	0.4304732598
799	0.4304223597
800	0.4303677377
801	0.4303257759
802	0.430280736
803	0.4302368472
804	0.4301868899
805	0.4301451113
806	0.4301038971
807	0.4300945652
808	0.4300727743
809	0.4300282888
810	0.4299767357
811	0.4299214504
812	0.4298692592
813	0.429835327
814	0.429773019
815	0.429734043
816	0.4297020034
817	0.4296674222
818	0.4296233329
819	0.4295119259
820	0.4294728233
821	0.4294229607
822	0.4293765391
823	0.4293122589
824	0.4292696459
825	0.4292222741
826	0.4291665016
827	0.4291270912
828	0.4290600553
829	0.4290164215
830	0.4289663272
831	0.4289373959
832	0.4289031304
833	0.4288527001
834	0.4287915834
835	0.4287156754
836	0.4286453038
837	0.4285621957
838	0.4284291605
839	0.4283403812
840	0.4282790535
841	0.4282226455
842	0.4281722412
843	0.4281434409
844	0.428109616
845	0.4280687553
846	0.428009964
847	0.4279611642
848	0.4279088225
849	0.4278732984
850	0.4278289267
851	0.4276911424
852	0.4276477494
853	0.4275979616
854	0.4275625475
855	0.4275120632
856	0.4274754035
857	0.4274423675
858	0.4274006114
859	0.4273402386
860	0.4272823116
861	0.4271676994
862	0.4271157705
863	0.4270687812
864	0.4270078088
865	0.4269124138
866	0.4268343848
867	0.426802151
868	0.4267571129
869	0.4267146305
870	0.4264768658
871	0.4264231369
872	0.4263686409
873	0.4263242014
874	0.4262980714
875	0.4262470816
876	0.4262115225
877	0.4261730832
878	0.4261435374
879	0.4261003973
880	0.4260509109
881	0.4260248063
882	0.425963182
883	0.4259169105
884	0.4258752685
885	0.4258432467
886	0.4257875105
887	0.4257128493
888	0.4256631143
889	0.4256036231
890	0.4255493392
891	0.4255066481
892	0.4254692202
893	0.4254117779
894	0.4253797975
895	0.425327368
896	0.4252879791
897	0.4252543358
898	0.4252264542
899	0.4251845702
900	0.4251478689
901	0.4251101853
902	0.4250898882
903	0.4250605261
904	0.4250177664
905	0.4249792161
906	0.4249396294
907	0.4248711405
908	0.4248130268
909	0.4247713454
910	0.4247451641
911	0.4247206063
912	0.4246658904
913	0.4246080828
914	0.4245643456
915	0.4244890753
916	0.4244168758
917	0.4243865703
918	0.424356986
919	0.4243056544
920	0.4242568196
921	0.4242100508
922	0.4241651748
923	0.4240040039
924	0.4239839242
925	0.4239496648
926	0.4239098547
927	0.4238626361
928	0.4238231535
929	0.423776
930	0.4237257347
931	0.4236922493
932	0.4236349426
933	0.4236173951
934	0.4235841593
935	0.4235415525
936	0.423489714
937	0.4234222711
938	0.4233726471
939	0.4233463707
940	0.4233277455
941	0.4232845601
942	0.4232394495
943	0.4231959086
944	0.423146626
945	0.423097074
946	0.4230686778
947	0.4230115559
948	0.4229706065
949	0.4229366093
950	0.4228893808
951	0.4228448368
952	0.4227963076
953	0.4227384504
954	0.4226930225
955	0.4226681917
956	0.4225797282
957	0.4225349621
958	0.4224930448
959	0.4224481687
960	0.4223857317
961	0.4223380689
962	0.4223091097
963	0.4222234023
964	0.4222060711
965	0.4221743601
966	0.4221198023
967	0.4220667223
968	0.4220427079
969	0.4219785808
970	0.4218823298
971	0.4218464229
972	0.4218163045
973	0.4217547807
974	0.4216975191
975	0.4216485749
976	0.4216184103
977	0.4215825572
978	0.4215446856
979	0.4215238995
980	0.4214681661
981	0.4214162274
982	0.4213666436
983	0.4213401583
984	0.4213096798
985	0.4212813738
986	0.4212376658
987	0.4211955768
988	0.4210915262
989	0.4210578618
990	0.4210155701
991	0.4209731629
992	0.4209321732
993	0.4208842427
994	0.4208501333
995	0.4207853991
996	0.4207318845
997	0.4207063895
998	0.4206613977
999	0.4206304237
